state	rank	country	value
Nebraska	14	India	49.62
Nebraska	15	Korea, South	42.32
Nebraska	16	Vietnam	41.29
Nebraska	17	Ireland	39.35
Nebraska	18	Spain	19.82
Nebraska	19	Czech Republic	19.68
Nebraska	20	Sweden	18.99
Nebraska	21	Belgium	16.82
Nebraska	22	Philippines	16.17
Nebraska	23	Poland	14.46
Nebraska	24	Hungary	13.62
Nebraska	25	Indonesia	11.56
New Hampshire	0	World	9283.46
New Hampshire	0	Top 25	8766.35
New Hampshire	1	Canada	4897.58
New Hampshire	2	China	1143.26
New Hampshire	3	Germany	523.92
New Hampshire	4	Mexico	473.61
New Hampshire	5	India	161.05
New Hampshire	6	Ireland	146.85
New Hampshire	7	Switzerland	128.09
New Hampshire	8	Thailand	127.4
New Hampshire	9	Japan	116.51
New Hampshire	10	United Kingdom	103.68
New Hampshire	11	Israel	100.31
New Hampshire	12	Vietnam	99.08
New Hampshire	13	Netherlands	98.89
New Hampshire	14	Italy	89.07
New Hampshire	15	Taiwan	86.4
New Hampshire	16	France	70.98
New Hampshire	17	Indonesia	60.13
New Hampshire	18	Sweden	58.72
New Hampshire	19	Russia	49.41
New Hampshire	20	Belgium	49.1
New Hampshire	21	Korea, South	47.97
New Hampshire	22	Peru	35.46
New Hampshire	23	Czech Republic	34.93
New Hampshire	24	Portugal	32.81
New Hampshire	25	Dominican Republic	31.16
New Jersey	0	World	119490.45
New Jersey	0	Top 25	100676.39
New Jersey	1	China	18578.88
New Jersey	2	Japan	10526.79
New Jersey	3	Canada	7797.65
New Jersey	4	Germany	7197.11
New Jersey	5	Switzerland	7188.37
New Jersey	6	India	6291.58
New Jersey	7	Italy	5890.33
New Jersey	8	Mexico	4803.15
New Jersey	9	Korea, South	4135.6
New Jersey	10	United Kingdom	3756.05
New Jersey	11	France	3433.07
New Jersey	12	Ireland	2543.62
New Jersey	13	Spain	2097.19
New Jersey	14	South Africa	1885.69
New Jersey	15	Russia	1703.7
